,url,label,domain
0,https://docs.google.com/document/d/100AEt7rqVbzrEsdp-5mZdcbYNt3zC_-bp5_YssjhQKg/edit?ts=6059876c,5,docs.google.com
1,https://docs.google.com/document/u/1/d/100AEt7rqVbzrEsdp-5mZdcbYNt3zC_-bp5_YssjhQKg/edit?ts=6059876c,5,docs.google.com
2,https://www.twitch.tv/akaros83,1,www.twitch.tv
3,https://blog.naver.com/jung55120/222038434043,3,blog.naver.com
4,https://www.twitch.tv/,1,www.twitch.tv
5,https://www.youtube.com/feed/history,1,www.youtube.com
6,https://mail.google.com/mail/u/0/#inbox,2,mail.google.com
7,https://docs.google.com/presentation/d/1oWw3mM9DKerhiS5ApdSiLinKqbP3DRUF9CGjas93jac/edit?ts=60599459#slide=id.gca1f1e7551_2_14,5,docs.google.com
8,https://docs.google.com/presentation/u/1/d/1oWw3mM9DKerhiS5ApdSiLinKqbP3DRUF9CGjas93jac/edit?ts=60599459#slide=id.gca1f1e7551_2_14,5,docs.google.com
9,https://www.youtube.com/watch?v=oKKVfzP-ZN0,1,www.youtube.com
10,"https://map.naver.com/v5/search/%EC%B9%B4%EC%9D%B4%EC%8A%A4%ED%8A%B8?c=14179221.6209567,4354101.5514656,11,0,0,0,dh",2,map.naver.com
11,http://q-net.or.kr/man001.do?id=man00102&gSite=Q&gId=,6,q-net.or.kr
12,http://q-net.or.kr/rcv002.do?id=rcv00208&gSite=Q&gId=&rcvPFlag=Y&gTitle=#wrap,6,q-net.or.kr
13,http://q-net.or.kr/rcv002.do?id=rcv00208&gSite=Q&gId=&rcvPFlag=Y&gTitle=,6,q-net.or.kr
14,http://q-net.or.kr/rcv002.do?id=rcv00207&gSite=Q&gId=,6,q-net.or.kr
15,https://q-net.or.kr/myp002.do?id=myp00201&gSite=Q&gId=,6,q-net.or.kr
16,http://q-net.or.kr/myp002.do?id=myp00201&gSite=Q&gId=,6,q-net.or.kr
17,https://q-net.or.kr/man001.do?id=man00101&gSite=Q&gId=,6,q-net.or.kr
18,https://q-net.or.kr/rcv002.do?id=rcv00208s02&gSite=Q&gId=&planId=PL2021533016&seqNo=2&jmCd=1110&selFld=00&recptTyp=01&recptDtl=2&sameImpl=N&sameRecpt=N&suNo=T5870331&dsdrGb=&dsdrReq=00&qualGb=T&recptNo=R10075218432&suhmTrgtCcd=A&examLangCcd=&sido=%B4%EB%C0%FC%B1%A4%BF%AA%BD%C3&sigungu=&closeYN=&page=1,6,q-net.or.kr
19,http://q-net.or.kr/man001.do?id=man00103&gSite=Q&gId=&rcvPFlag=Y&gTitle=&redir=rcv002.do%3Fid%3Drcv00208s02%26gSite%3DQ%26gId%3D%26planId%3DPL2021533016%26seqNo%3D2%26jmCd%3D1110%26selFld%3D00%26recptTyp%3D01%26recptDtl%3D2%26sameImpl%3DN%26sameRecpt%3DN%26suNo%3DT5870331%26dsdrGb%3D%26dsdrReq%3D00%26qualGb%3DT%26recptNo%3DR10075218432%26suhmTrgtCcd%3DA%26examLangCcd%3D%26sido%3D%B4%EB%C0%FC%B1%A4%BF%AA%BD%C3%26sigungu%3D%26closeYN%3D%26page%3D1,6,q-net.or.kr
20,http://q-net.or.kr/rcv003.do?id=rcv00301&gSite=Q&gId=,6,q-net.or.kr
21,http://q-net.or.kr/rcv002.do?id=rcv00208&gSite=Q&gId=03&rcvPFlag=Y&gTitle=#wrap,6,q-net.or.kr
22,http://q-net.or.kr/rcv002.do?id=rcv00208&gSite=Q&gId=03&rcvPFlag=Y&gTitle=,6,q-net.or.kr
23,http://q-net.or.kr/rcv002.do?id=rcv00207&gSite=Q&gId=03,6,q-net.or.kr
24,http://q-net.or.kr/myp002.do?id=myp00201&gSite=Q&gId=03,6,q-net.or.kr
25,https://q-net.or.kr/myp002.do?id=myp00201&gSite=Q&gId=03,6,q-net.or.kr
26,http://q-net.or.kr/rcv002.do?id=rcv00202Q&gSite=Q&page=1&fromUrl=infoMain,6,q-net.or.kr
27,http://q-net.or.kr/man001.do?gSite=Q,6,q-net.or.kr
28,"https://map.naver.com/v5/search/%EC%B9%B4%EC%9D%B4%EC%8A%A4%ED%8A%B8?c=14179794.8986689,4353566.4922676,11,0,0,0,dh",2,map.naver.com
29,"https://map.naver.com/v5/search/%EC%B9%B4%EC%9D%B4%EC%8A%A4%ED%8A%B8?c=14180463.7226664,4350518.5657647,12,0,0,0,dh",2,map.naver.com
30,"https://map.naver.com/v5/search/%EC%B9%B4%EC%9D%B4%EC%8A%A4%ED%8A%B8?c=14176125.9213112,4355209.8883757,11,0,0,0,dh",2,map.naver.com
31,"https://map.naver.com/v5/search/%EC%B9%B4%EC%9D%B4%EC%8A%A4%ED%8A%B8?c=14177769.3174193,4352109.4114159,13,0,0,0,dh",2,map.naver.com
32,"https://map.naver.com/v5/search/%EC%B9%B4%EC%9D%B4%EC%8A%A4%ED%8A%B8?c=14177310.6952496,4353060.0969552,12,0,0,0,dh",2,map.naver.com
